Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-validator,org.apache.commons.validator.example,ValidateExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator; org.apache.commons.validator.ValidatorResources
commons-validator,org.apache.commons.validator.example,ValidateExample,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
commons-validator,org.apache.commons.validator.example,ValidateExample,Law of Demeter violation,The tool detected the smell in this method (printResults) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.Field.getArg; org.apache.commons.validator.Arg.getKey
commons-validator,org.apache.commons.validator,CreditCardValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.util.Flags
commons-validator,org.apache.commons.validator,EmailValidator,Law of Demeter violation,The tool detected the smell in this method (isValid) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.EmailValidator.getInstance; org.apache.commons.validator.routines.EmailValidator.isValid
commons-validator,org.apache.commons.validator,Field,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.ValidatorResults; org.apache.commons.validator.DependentValidatorContext
commons-validator,org.apache.commons.validator,Field,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
commons-validator,org.apache.commons.validator,Form,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.ValidatorResults
commons-validator,org.apache.commons.validator,FormSetFactory,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.FormSet
commons-validator,org.apache.commons.validator,GenericValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CreditCardValidator; org.apache.commons.validator.routines.UrlValidator
commons-validator,org.apache.commons.validator,GenericValidator,Law of Demeter violation,The tool detected the smell in this method (isDate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator,GenericValidator,Law of Demeter violation,The tool detected the smell in this method (isDate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.DateValidator.getInstance; org.apache.commons.validator.DateValidator.isValid
commons-validator,org.apache.commons.validator,GenericValidator,Law of Demeter violation,The tool detected the smell in this method (isEmail) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.EmailValidator.getInstance; org.apache.commons.validator.routines.EmailValidator.isValid
commons-validator,org.apache.commons.validator,ISBNValidator,Law of Demeter violation,The tool detected the smell in this method (isValid) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ISBNValidator.getInstance; org.apache.commons.validator.routines.ISBNValidator.isValidISBN10
commons-validator,org.apache.commons.validator,UrlValidator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.util.Flags
commons-validator,org.apache.commons.validator,ValidatorResources,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Arg; org.apache.commons.validator.FormSet
commons-validator,org.apache.commons.validator,ValidatorResults,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.ValidatorResult
commons-validator,org.apache.commons.validator,AbstractNumberTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,CreditCardValidatorValidityTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.CreditCardValidator
commons-validator,org.apache.commons.validator,CustomCreditCardTypeTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.CreditCardValidator
commons-validator,org.apache.commons.validator,DateTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator
commons-validator,org.apache.commons.validator,EmailTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.Validator; org.apache.commons.validator.EmailValidator; org.apache.commons.validator.routines.EmailValidator
commons-validator,org.apache.commons.validator,EmailTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
